Elapsed time;Request
15:39:57,0;848.0
15:40:02,500;1185.0
15:40:04,0;834.0
15:40:07,0;878.0
15:40:09,500;799.0
15:40:10,500;744.0
15:40:12,0;899.0
15:40:14,0;819.0
15:40:16,0;820.0
15:40:17,0;833.0
15:40:17,500;752.0
15:40:19,0;783.0
15:40:21,0;753.0
15:40:22,500;1067.0
15:40:23,0;750.0
15:40:24,0;759.0
15:40:24,500;756.0
15:40:26,0;855.0
15:40:27,0;852.0
15:40:27,500;790.0
15:40:29,0;753.0
15:40:29,500;759.0
15:40:30,500;754.0
15:40:31,0;747.0
15:40:32,0;805.0
15:40:32,500;774.0
15:40:34,0;746.0
15:40:34,500;819.0
15:40:36,0;756.0
15:40:36,500;761.0
15:40:37,0;797.0
15:40:37,500;764.0
15:40:38,0;785.0
15:40:39,0;751.0
15:40:39,500;875.0
15:40:40,500;749.0
15:40:41,0;823.0
15:40:42,0;794.0
15:40:42,500;775.0
15:40:43,0;756.0
15:40:44,0;778.5
15:40:44,500;831.0
15:40:45,500;754.0
15:40:46,500;788.0
15:40:47,0;800.0
15:40:47,500;762.0
15:40:48,0;813.0
15:40:49,0;756.0
15:40:49,500;763.0
15:40:50,0;796.0
15:40:50,500;763.0
15:40:51,500;917.0
15:40:52,0;850.0
15:40:52,500;756.0
15:40:53,0;752.0
15:40:54,0;857.5
15:40:55,0;770.0
15:40:55,500;784.0
15:40:56,0;767.0
15:40:56,500;754.0
15:40:57,0;812.0
15:40:57,500;754.0
15:40:58,0;758.0
15:40:58,500;867.0
15:40:59,0;755.0
15:41:00,0;763.0
15:41:01,0;756.0
15:41:01,500;759.0
15:41:02,0;816.0
15:41:02,500;773.0
15:41:03,0;765.0
15:41:03,500;869.0
15:41:04,0;803.0
15:41:05,0;751.0
15:41:05,500;770.0
15:41:06,0;771.0
15:41:06,500;757.0
15:41:07,0;799.0
15:41:07,500;755.0
15:41:08,500;804.0
15:41:09,0;756.5
15:41:09,500;752.0
15:41:10,500;761.0
15:41:11,0;803.0
15:41:11,500;758.0
15:41:12,0;776.0
15:41:12,500;773.5
15:41:13,500;838.0
15:41:14,0;759.0
15:41:14,500;780.5
15:41:15,0;756.0
15:41:15,500;850.0
15:41:16,0;760.0
15:41:16,500;760.0
15:41:17,0;795.5
15:41:17,500;774.5
15:41:18,500;818.0
15:41:19,0;776.0
15:41:19,500;763.0
15:41:20,0;802.0
15:41:20,500;761.0
15:41:21,0;760.5
15:41:22,0;789.5
15:41:22,500;782.5
15:41:23,500;876.0
15:41:24,0;789.0
15:41:24,500;766.5
15:41:25,500;786.3333333333334
15:41:26,0;763.0
15:41:26,500;772.0
15:41:27,0;786.0
15:41:27,500;761.0
15:41:28,0;816.0
15:41:28,500;765.0
15:41:29,0;760.0
15:41:29,500;808.5
15:41:30,0;769.0
15:41:30,500;795.5
15:41:31,0;834.0
15:41:31,500;767.0
15:41:32,0;779.6666666666666
15:41:32,500;786.0
15:41:33,0;809.5
15:41:34,0;770.0
15:41:34,500;775.0
15:41:35,0;765.0
15:41:35,500;763.0
15:41:36,0;780.0
15:41:36,500;762.0
15:41:37,0;808.0
15:41:37,500;765.0
15:41:38,0;828.5
15:41:39,0;782.0
15:41:39,500;790.0
15:41:40,0;768.0
15:41:40,500;792.0
15:41:41,0;766.0
15:41:41,500;765.5
15:41:42,0;784.5
15:41:42,500;765.0
15:41:43,0;808.5
15:41:43,500;771.0
15:41:44,0;765.5
15:41:44,500;765.0
15:41:45,0;793.5
15:41:45,500;772.6666666666666
15:41:46,0;774.0
15:41:46,500;777.5
15:41:47,0;806.0
15:41:47,500;774.6666666666666
15:41:48,500;804.5
15:41:49,0;768.0
15:41:49,500;765.0
15:41:50,0;766.0
15:41:50,500;769.5
15:41:51,0;767.0
15:41:51,500;764.5
15:41:52,0;809.0
15:41:52,500;771.6666666666666
15:41:53,0;809.5
15:41:53,500;766.0
15:41:54,0;764.6666666666666
15:41:54,500;770.0
15:41:55,0;768.0
15:41:56,0;841.3333333333334
15:41:56,500;771.0
15:41:57,0;830.0
15:41:57,500;774.0
15:41:58,0;774.5
15:41:58,500;813.5
15:41:59,0;778.3333333333334
15:41:59,500;815.0
15:42:00,0;779.5
15:42:00,500;771.0
15:42:01,0;890.5
15:42:01,500;771.0
15:42:02,0;787.3333333333334
15:42:02,500;787.5
15:42:03,500;812.5
15:42:04,0;772.3333333333334
15:42:04,500;803.5
15:42:05,0;779.0
15:42:05,500;777.0
15:42:06,0;769.0
15:42:06,500;801.0
15:42:07,0;785.3333333333334
15:42:07,500;768.0
15:42:08,0;827.6666666666666
15:42:08,500;772.5
15:42:09,0;768.0
15:42:09,500;801.6666666666666
15:42:10,0;773.0
15:42:10,500;779.0
15:42:11,0;773.0
15:42:11,500;776.0
15:42:12,0;772.0
15:42:12,500;1024.3333333333333
15:42:13,0;826.0
15:42:13,500;774.0
15:42:14,0;865.0
15:42:14,500;863.0
15:42:15,0;773.5
15:42:15,500;774.0
15:42:16,0;776.5
15:42:16,500;771.0
15:42:17,0;791.3333333333334
15:42:17,500;780.5
15:42:18,0;821.0
15:42:18,500;796.0
15:42:19,0;811.0
15:42:19,500;821.0
15:42:20,0;776.0
15:42:20,500;783.0
15:42:21,0;787.0
15:42:21,500;809.0
15:42:22,0;860.0
15:42:22,500;772.0
15:42:23,0;798.3333333333334
15:42:23,500;790.0
15:42:24,0;785.0
15:42:24,500;798.6666666666666
15:42:25,0;786.0
15:42:25,500;775.0
15:42:26,0;782.6666666666666
15:42:26,500;776.3333333333334
15:42:27,0;796.0
15:42:27,500;777.0
15:42:28,0;773.0
15:42:28,500;800.6666666666666
15:42:29,0;814.25
15:42:29,500;779.0
15:42:30,0;775.5
15:42:30,500;777.6666666666666
15:42:31,0;782.0
15:42:31,500;778.0
15:42:32,0;789.0
15:42:32,500;778.0
15:42:33,0;781.6
15:42:33,500;816.5
15:42:34,0;783.5
15:42:34,500;805.3333333333334
15:42:35,0;781.0
15:42:35,500;778.0
15:42:36,0;783.5
15:42:36,500;781.6666666666666
15:42:37,0;818.0
15:42:37,500;778.3333333333334
15:42:38,0;792.0
15:42:38,500;779.0
15:42:39,0;815.0
15:42:39,500;789.0
15:42:40,0;792.6666666666666
15:42:40,500;788.0
15:42:41,0;783.5
15:42:41,500;777.0
15:42:42,0;797.0
15:42:42,500;796.6666666666666
15:42:43,0;790.0
15:42:43,500;812.3333333333334
15:42:44,0;815.6666666666666
15:42:44,500;794.5
15:42:45,0;779.5
15:42:45,500;779.6666666666666
15:42:46,0;791.0
15:42:46,500;783.5
15:42:47,0;793.5
15:42:47,500;862.5
15:42:48,0;812.3333333333334
15:42:48,500;783.0
15:42:49,0;782.3333333333334
15:42:49,500;808.5
15:42:50,0;781.0
15:42:50,500;782.0
15:42:51,0;782.3333333333334
15:42:51,500;785.3333333333334
15:42:52,0;826.0
15:42:52,500;778.0
15:42:53,0;781.3333333333334
15:42:53,500;815.75
15:42:54,0;788.0
15:42:54,500;804.75
15:42:55,0;788.0
15:42:55,500;781.0
15:42:56,0;786.0
15:42:56,500;793.3333333333334
15:42:57,0;804.25
15:42:57,500;798.0
15:42:58,0;786.5
15:42:58,500;811.3333333333334
15:42:59,0;787.3333333333334
15:42:59,500;808.5
15:43:00,0;814.0
15:43:00,500;820.2
15:43:01,0;802.0
15:43:01,500;785.5
15:43:02,0;797.6666666666666
15:43:02,500;789.6666666666666
15:43:03,0;789.6666666666666
15:43:03,500;825.0
15:43:04,0;788.3333333333334
15:43:04,500;822.5
15:43:05,0;801.5
15:43:05,500;789.0
15:43:06,0;820.0
15:43:06,500;787.0
15:43:07,0;813.5
15:43:07,500;801.6
15:43:08,0;789.5
15:43:08,500;829.6666666666666
15:43:09,0;792.0
15:43:09,500;832.5
15:43:10,0;793.0
15:43:10,500;820.6666666666666
15:43:11,0;892.5
15:43:11,500;793.6666666666666
15:43:12,0;849.5
15:43:12,500;790.3333333333334
15:43:13,0;802.0
15:43:13,500;837.0
15:43:14,0;843.25
15:43:14,500;842.5
15:43:15,0;797.75
15:43:15,500;812.0
15:43:16,0;856.8
15:43:16,500;793.6666666666666
15:43:17,0;823.5
15:43:17,500;790.75
15:43:18,0;792.6666666666666
15:43:18,500;862.0
15:43:19,0;807.3333333333334
15:43:19,500;842.25
15:43:20,0;803.0
15:43:20,500;822.6666666666666
15:43:21,0;814.6
15:43:21,500;804.6666666666666
15:43:22,0;819.25
15:43:22,500;804.5
15:43:23,0;791.6666666666666
15:43:23,500;857.5
15:43:24,0;811.5
15:43:24,500;831.75
15:43:25,0;831.0
15:43:25,500;844.5
15:43:26,0;807.0
15:43:26,500;816.0
15:43:27,0;834.0
15:43:27,500;925.6666666666666
15:43:28,0;820.5
15:43:28,500;837.6666666666666
15:43:29,0;800.3333333333334
15:43:29,500;789.0
15:43:30,0;849.0
15:43:30,500;840.5
15:43:31,0;808.5
15:43:31,500;815.5
15:43:32,0;814.5
15:43:32,500;803.5
15:43:33,0;814.0
15:43:33,500;836.5
15:43:34,0;792.0
15:43:34,500;824.5714285714286
15:43:35,0;807.5
15:43:35,500;829.75
15:43:36,0;808.0
15:43:36,500;817.4
15:43:37,0;841.6666666666666
15:43:37,500;820.75
15:43:38,0;806.3333333333334
15:43:38,500;829.3333333333334
15:43:39,0;810.0
15:43:39,500;824.0
15:43:40,0;797.0
15:43:40,500;835.0
15:43:41,0;813.25
15:43:41,500;796.5
15:43:42,0;830.0
15:43:42,500;804.5
15:43:43,0;803.5
15:43:43,500;835.3333333333334
15:43:44,0;804.8
15:43:44,500;837.6666666666666
15:43:45,0;799.5
15:43:45,500;813.8
15:43:46,0;804.3333333333334
15:43:46,500;802.0
15:43:47,0;815.0
15:43:47,500;804.0
15:43:48,0;808.4285714285714
15:43:48,500;855.3333333333334
15:43:49,0;814.75
15:43:49,500;835.0
15:43:50,0;805.0
15:43:50,500;808.5
15:43:51,0;851.4
15:43:51,500;825.75
15:43:52,0;812.0
15:43:52,500;800.0
15:43:53,0;806.0
15:43:53,500;880.8
15:43:54,0;817.3333333333334
15:43:54,500;813.0
15:43:55,0;837.6666666666666
15:43:55,500;801.0
15:43:56,0;822.6666666666666
15:43:56,500;806.0
15:43:57,0;822.6
15:43:57,500;845.0
15:43:58,0;851.5
15:43:58,500;822.0
15:43:59,0;805.0
15:43:59,500;833.0
15:44:00,0;805.3333333333334
15:44:00,500;807.6666666666666
15:44:01,0;811.5
15:44:01,500;866.5
15:44:02,0;910.7142857142857
15:44:02,500;847.0
15:44:03,0;805.0
15:44:03,500;856.5
15:44:04,0;823.0
15:44:04,500;833.6
15:44:05,0;823.25
15:44:05,500;802.0
15:44:06,0;826.4
15:44:06,500;809.0
15:44:07,0;819.0
15:44:07,500;830.5
15:44:08,500;825.8
15:44:09,0;815.0
15:44:09,500;823.8
15:44:10,0;823.0
15:44:10,500;803.3333333333334
15:44:11,0;845.6666666666666
15:44:11,500;829.6
15:44:12,0;872.75
15:44:12,500;823.75
15:44:13,0;824.25
15:44:13,500;809.0
15:44:14,0;862.75
15:44:14,500;932.0
15:44:15,0;806.0
15:44:15,500;839.5714285714286
15:44:16,0;843.75
15:44:16,500;815.4
15:44:17,0;813.0
15:44:17,500;866.5714285714286
15:44:18,0;809.0
15:44:18,500;845.3333333333334
15:44:20,0;1451.4166666666667
15:44:20,500;1055.0
15:44:21,0;843.5
15:44:21,500;846.5
15:44:22,0;833.7333333333332
15:44:22,500;835.4285714285714
15:44:23,0;811.6666666666666
15:44:23,500;838.25
15:44:24,0;896.3333333333334
15:44:24,500;819.25
15:44:25,0;954.4
15:44:26,500;834.0
15:44:27,0;849.6666666666666
15:44:27,500;820.5
15:44:28,0;823.5
15:44:29,0;842.5714285714286
15:44:29,500;816.2
15:44:30,0;906.25
15:44:30,500;818.5
15:44:31,0;856.25
15:44:31,500;856.0
15:44:32,0;855.0
15:44:33,500;825.5
15:44:34,0;842.375
15:44:34,500;816.6
15:44:35,0;847.0
15:44:35,500;811.0
15:44:36,0;847.875
15:44:36,500;827.3333333333334
15:44:37,0;851.4285714285714
15:44:37,500;823.0
15:44:38,0;869.1428571428571
15:44:39,0;880.0
15:44:40,0;803.0
15:44:40,500;839.4
15:44:41,0;831.2857142857143
15:44:41,500;819.0
15:44:42,0;895.8
15:44:42,500;831.0
15:44:43,0;832.5
15:44:43,500;831.0
15:44:44,0;846.3333333333334
15:44:45,0;940.5714285714286
15:44:46,0;896.0
15:44:47,0;843.0
15:44:47,500;843.25
15:44:48,0;826.1666666666666
15:44:48,500;854.3333333333334
15:44:49,0;819.5
15:44:49,500;828.5
15:44:50,0;850.8333333333334
15:44:50,500;823.6666666666666
15:44:51,0;892.6
15:44:51,500;819.3333333333334
15:44:52,0;831.0
15:44:52,500;818.0
15:44:53,0;886.6666666666666
15:44:54,0;834.4
15:44:54,500;829.1111111111111
15:44:55,0;859.2
15:44:55,500;835.3333333333334
15:44:56,0;819.6666666666666
15:44:56,500;846.2857142857143
15:44:57,0;845.4
15:44:57,500;853.5
15:44:58,0;839.0
15:44:58,500;863.5
15:44:59,0;838.75
15:44:59,500;840.5
15:45:00,500;816.0
15:45:01,0;858.2857142857143
15:45:01,500;858.1
15:45:02,0;882.3333333333334
15:45:02,500;848.8
15:45:03,0;852.3333333333334
15:45:03,500;866.7142857142857
15:45:04,0;886.8
15:45:04,500;843.4
15:45:05,500;866.0
15:45:06,0;978.6
15:45:06,500;852.5
15:45:07,0;906.0
15:45:07,500;821.8
15:45:08,0;850.4
15:45:08,500;828.75
15:45:09,0;863.0
15:45:09,500;839.3333333333334
15:45:10,0;838.0
15:45:10,500;900.4285714285714
15:45:11,0;836.0
15:45:11,500;882.6666666666666
15:45:12,0;880.6666666666666
15:45:12,500;835.5
15:45:13,0;882.3333333333334
15:45:13,500;832.5
15:45:14,0;829.0
15:45:14,500;854.7142857142857
15:45:15,0;861.125
15:45:15,500;860.8
15:45:16,0;848.75
15:45:16,500;884.5
15:45:17,0;854.5714285714286
15:45:17,500;860.2857142857143
15:45:18,0;847.0
15:45:18,500;843.2
15:45:19,0;889.25
15:45:19,500;832.4
15:45:20,0;848.1666666666666
15:45:21,0;865.5
15:45:21,500;834.875
15:45:22,0;869.5555555555555
15:45:22,500;859.0
15:45:23,0;840.0
15:45:23,500;839.0
15:45:24,0;861.6
15:45:24,500;909.2222222222222
15:45:25,0;857.0
15:45:25,500;931.5
15:45:26,0;862.75
15:45:26,500;856.2
15:45:27,0;880.0
15:45:27,500;841.0
15:45:28,0;850.0
15:45:28,500;883.0
15:45:29,0;896.0909090909091
15:45:29,500;836.3333333333334
15:45:30,0;857.4
15:45:30,500;889.0
15:45:31,0;875.0
15:45:31,500;877.25
15:45:32,0;1207.0
15:45:32,500;936.3333333333334
15:45:33,0;871.8
15:45:33,500;909.6666666666666
15:45:34,0;917.2
15:45:34,500;1027.6666666666667
15:45:35,0;853.2
15:45:35,500;858.5714285714286
15:45:36,0;873.2857142857143
15:45:36,500;880.8
15:45:37,0;869.3333333333334
15:45:37,500;870.0
15:45:38,0;937.875
15:45:38,500;861.0
15:45:39,0;886.1428571428571
15:45:39,500;830.6666666666666
15:45:40,0;837.25
15:45:40,500;859.0
15:45:41,0;871.6
15:45:41,500;837.0
15:45:42,0;847.3333333333334
15:45:42,500;852.625
15:45:43,0;850.6
15:45:43,500;839.75
15:45:44,0;870.25
15:45:44,500;845.0
15:45:45,0;877.25
15:45:45,500;843.0
15:45:46,0;883.3333333333334
15:45:46,500;855.0
15:45:47,0;875.5
15:45:47,500;835.75
15:45:48,0;863.6666666666666
15:45:48,500;849.5
15:45:49,0;870.2222222222222
15:45:49,500;881.1818181818181
15:45:50,0;845.6666666666666
15:45:50,500;867.5
15:45:51,0;859.0
15:45:51,500;895.6
15:45:52,0;892.3333333333334
15:45:52,500;976.0
15:45:53,0;877.0
15:45:53,500;847.75
15:45:54,0;858.6666666666666
15:45:54,500;876.0
15:45:55,0;1060.2
15:45:55,500;837.75
15:45:56,0;854.2
15:45:56,500;869.2727272727273
15:45:57,0;860.6666666666666
15:45:57,500;875.5
15:45:58,0;849.75
15:45:58,500;978.0
15:45:59,0;883.0
15:45:59,500;846.0
15:46:00,0;884.2222222222222
15:46:00,500;847.0
15:46:01,0;1063.0
15:46:01,500;846.6666666666666
15:46:02,0;589.3333333333334
